name,detail_text,description,number,price,count_toys
"Самокат 3-х колёсный, полиуретановые светящиеся колеса, максимальная нагрузка 50кг /красный/","Изюминкой модели являются святящиеся колёса, - это очень эффектно смотрится в темноте. Полиуретановые колёса делют поездку мягкой, амортизируют неровности и прослужат не один сезон. Безопасность модели обеспечивают противоскользящие накладки на руль, подсветка колёс и интуитивная система торможения. Самокат оснащён ножным наступающим тормозом (step-on brake), который размещен над задним колесом. Силиконовые накладки на руле прочно удерживают руки ребёнка и не позволяют им скользить, что делает надежным управление самокатом. Руль самоката регулируется по высоте.,Материал колёс: полиуретан.,Светящиеся колёса: да.,Максимальная нагрузка: 50 кг.,Складной: нет.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '4', 'Максимальная нагрузка, кг': '50', 'Упаковка': 'Коробка', 'Возраст': 'от 3 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'нет', 'Материал товара': 'Пластмасса, Металл', 'Пол': 'Девочки', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '120/80', 'Светящиеся колеса': 'да', 'Тип рамы': 'пластиковая'}",10120063,2190,83
"Самокат 3-х колёсный, полиуретановые светящиеся колеса, максимальная нагрузка 50кг /синий/","Изюминкой модели являются святящиеся колёса, - это очень эффектно смотрится в темноте. Руль самоката регулируется по высоте. Полиуретановые колёса делют поездку мягкой, амортизируют неровности и прослужат не один сезон. Безопасность модели обеспечивают противоскользящие накладки на руль, подсветка колёс и интуитивная система торможения. Самокат оснащён ножным наступающим тормозом (step-on brake), который размещен над задним колесом. Силиконовые накладки на руле прочно удерживают руки ребёнка и не позволяют им скользить, что делает надежным управление самокатом.,Материал колёс: полиуретан.,Светящиеся колёса: да.,Регулировка руля по высоте: да.,Максимальная нагрузка: 50 кг.,Складной: нет.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '4', 'Максимальная нагрузка, кг': '50', 'Упаковка': 'Коробка', 'Возраст': 'от 3 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'нет', 'Материал товара': 'Пластмасса, Металл', 'Пол': 'Для всех', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '120/80', 'Светящиеся колеса': 'да', 'Тип рамы': 'пластиковая'}",10120064,2190,85
"Самокат 3-х колёсный, полиуретановые светящиеся колеса, максимальная нагрузка 50кг /зеленый/","Изюминкой модели являются святящиеся колёса, - это очень эффектно смотрится в темноте. Полиуретановые колёса делют поездку мягкой, амортизируют неровности и прослужат не один сезон. Безопасность модели обеспечивают противоскользящие накладки на руль, подсветка колёс и интуитивная система торможения. Самокат оснащён ножным наступающим тормозом (step-on brake), который размещен над задним колесом. Силиконовые накладки на руле прочно удерживают руки ребёнка и не позволяют им скользить, что делает надежным управление самокатом. Руль регулируется по высоте.,Материал колёс: полиуретан.,Светящиеся колёса: да.,Регулировка руля по высоте: да.,Максимальная нагрузка: 50 кг.,Складной: нет.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '4', 'Максимальная нагрузка, кг': '50', 'Упаковка': 'Коробка', 'Возраст': 'от 3 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'нет', 'Материал товара': 'Пластмасса, Металл', 'Пол': 'Для всех', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '120/80', 'Светящиеся колеса': 'да', 'Тип рамы': 'пластиковая'}",10120065,2190,19
"Самокат 3-х колёсный, полиуретановые светящиеся колеса, максимальная нагрузка 50кг /розовый/","Изюминкой модели являются святящиеся колёса, - это очень эффектно смотрится в темноте. Полиуретановые колёса делют поездку мягкой, амортизируют неровности и прослужат не один сезон. Безопасность модели обеспечивают противоскользящие накладки на руль, подсветка колёс и интуитивная система торможения. Самокат оснащён ножным наступающим тормозом (step-on brake), который размещен над задним колесом. Силиконовые накладки на руле прочно удерживают руки ребёнка и не позволяют им скользить, что делает надежным управление самокатом. Руль модели регулируется по высоте.,Материал колёс: полиуретан.,Светящиеся колёса: да.,Регулировка руля по высоте: есть.,Максимальная нагрузка: 50 кг.,Складной: нет.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '4', 'Максимальная нагрузка, кг': '50', 'Упаковка': 'Коробка', 'Возраст': 'от 3 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'нет', 'Материал товара': 'Пластмасса, Металл', 'Пол': 'Девочки', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '120/80', 'Светящиеся колеса': 'да', 'Тип рамы': 'пластиковая'}",10120066,2190,50
"Самокат 3-х колёсный, полиуретановые светящиеся колеса, максимальная нагрузка 50кг /фиолетовый/","Изюминкой модели являются светящиеся колёса и регулируемый по высоте руль. Полиуретановые колёса делют поездку мягкой, амортизируют неровности и прослужат не один сезон. Безопасность модели обеспечивают противоскользящие накладки на руль, подсветка колёс и интуитивная система торможения. Самокат оснащён ножным наступающим тормозом (step-on brake), который размещен над задним колесом. Силиконовые накладки на руле прочно удерживают руки ребёнка и не позволяют им скользить, что делает надежным управление самокатом.,Материал колёс: полиуретан.,Светящиеся колёса: да.,Регулировка руля по высоте: есть.,Максимальная нагрузка: 50 кг.,Складной: нет.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '4', 'Максимальная нагрузка, кг': '50', 'Упаковка': 'Коробка', 'Возраст': 'от 3 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'нет', 'Материал товара': 'Пластмасса, Металл', 'Пол': 'Девочки', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '120/80', 'Светящиеся колеса': 'да', 'Тип рамы': 'пластиковая'}",10120067,2190,29
"Самокат 3-х колёсный, полиуретановые светящиеся колеса, максимальная нагрузка 50кг /красный/","Изюминкой модели являются святящиеся колёса, - это очень эффектно смотрится в темноте. Полиуретановые колёса делют поездку мягкой, амортизируют неровности и прослужат не один сезон. Безопасность модели обеспечивают противоскользящие накладки на руль, подсветка колёс и интуитивная система торможения. Самокат оснащён ножным наступающим тормозом (step-on brake), который размещен над задним колесом. Силиконовые накладки на руле прочно удерживают руки ребёнка и не позволяют им скользить, что делает надежным управление самокатом. Руль модели регулируется по высоте.,Материал колёс: полиуретан.,Светящиеся колёса: да.,Регулировка руля по высоте: есть.,Максимальная нагрузка: 50 кг.,Складной: нет.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '4', 'Максимальная нагрузка, кг': '50', 'Упаковка': 'Коробка', 'Возраст': 'от 3 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'да', 'Материал товара': 'Пластмасса, Металл', 'Пол': 'Для всех', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '120/80', 'Светящиеся колеса': 'да', 'Тип рамы': 'пластиковая'}",10120068,2499,43
"Самокат 3-х колёсный, полиуретановые светящиеся колеса, максимальная нагрузка 50кг /синий/","Изюминкой модели являются святящиеся колёса, - это очень эффектно смотрится в темноте. Полиуретановые колёса делют поездку мягкой, амортизируют неровности и прослужат не один сезон. Безопасность модели обеспечивают противоскользящие накладки на руль, подсветка колёс и интуитивная система торможения. Самокат оснащён ножным наступающим тормозом (step-on brake), который размещен над задним колесом. Силиконовые накладки на руле прочно удерживают руки ребёнка и не позволяют им скользить, что делает надежным управление самокатом. Руль регулируется по высоте.,Материал колёс: полиуретан.,Светящиеся колёса: да.,Регулировка руля по высоте: есть.,Максимальная нагрузка: 50 кг.,Складной: нет.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '4', 'Максимальная нагрузка, кг': '50', 'Упаковка': 'Коробка', 'Возраст': 'от 3 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'да', 'Материал товара': 'Пластмасса, Металл', 'Пол': 'Для всех', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '120/80', 'Светящиеся колеса': 'да', 'Тип рамы': 'пластиковая'}",10120069,2499,39
"Самокат 3-х колёсный, полиуретановые светящиеся колеса, максимальная нагрузка 50кг /зеленый/","Изюминкой модели являются светящиеся колёса, - это очень эффектно смотрится в темноте. Полиуретановые колёса делют поездку мягкой, амортизируют неровности и прослужат не один сезон. Безопасность модели обеспечивают противоскользящие накладки на руль, подсветка колёс и интуитивная система торможения. Самокат оснащён ножным наступающим тормозом (step-on brake), который размещен над задним колесом. Силиконовые накладки на руле прочно удерживают руки ребёнка и не позволяют им скользить, что делает надежным управление самокатом. Руль регулируется по высоте.,Материал колёс: полиуретан.,Светящиеся колёса: да.,Руль регулируется по высоте: да.,Максимальная нагрузка: 50 кг.,Складной: да.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '4', 'Максимальная нагрузка, кг': '50', 'Упаковка': 'Коробка', 'Возраст': 'от 3 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'да', 'Материал товара': 'Пластмасса, Металл', 'Пол': 'Для всех', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '120/80', 'Светящиеся колеса': 'да', 'Тип рамы': 'пластиковая'}",10120070,2499,18
"Самокат 3-х колёсный, полиуретановые светящиеся колеса, максимальная нагрузка 50кг /розовый/","Изюминкой модели являются светящиеся колёса, - это очень эффектно смотрится в темноте. Полиуретановые колёса делют поездку мягкой, амортизируют неровности и прослужат не один сезон. Безопасность модели обеспечивают противоскользящие накладки на руль, подсветка колёс и интуитивная система торможения. Самокат оснащён ножным наступающим тормозом (step-on brake), который размещен над задним колесом. Силиконовые накладки на руле прочно удерживают руки ребёнка и не позволяют им скользить, что делает надежным управление самокатом. Руль регулируется по высоте.,Материал колёс: полиуретан.,Светящиеся колёса: да.,Руль регулируется по высоте: да.,Максимальная нагрузка: 50 кг.,Складной: нет.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '4', 'Максимальная нагрузка, кг': '50', 'Упаковка': 'Коробка', 'Возраст': 'от 3 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'да', 'Материал товара': 'Пластмасса, Металл', 'Пол': 'Девочки', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '120/80', 'Светящиеся колеса': 'да', 'Тип рамы': 'пластиковая'}",10120071,2499,15
"Самокат 3-х колёсный, полиуретановые светящиеся колеса, максимальная нагрузка 50кг /фиолетовый/","Изюминкой модели являются светящиеся колёса, - это очень эффектно смотрится в темноте. Полиуретановые колёса делют поездку мягкой, амортизируют неровности и прослужат не один сезон. Безопасность модели обеспечивают противоскользящие накладки на руль, подсветка колёс и интуитивная система торможения. Самокат оснащён ножным наступающим тормозом (step-on brake), который размещен над задним колесом. Силиконовые накладки на руле прочно удерживают руки ребёнка и не позволяют им скользить, что делает надежным управление самокатом. Руль регулируется по высоте.,Материал колёс: полиуретан.,Светящиеся колёса: да.,Регулировка руля по высоте: есть.,Максимальная нагрузка: 50 кг.,Складной: нет.","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '4', 'Максимальная нагрузка, кг': '50', 'Упаковка': 'Коробка', 'Возраст': 'от 3 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'да', 'Материал товара': 'Пластмасса, Металл', 'Пол': 'Девочки', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '120/80', 'Светящиеся колеса': 'да', 'Тип рамы': 'пластиковая'}",10120072,2499,41
"Самокат 3-х колёсный, полиуретановые светящиеся колёса, максимальная нагрузка до 60 кг /Tongde/"," Самокат лёгок в управлении, с ним справится даже малыш. Особенностями самоката являются регулируемый руль и светящиеся колёса. Светящиеся колёса служат не только для украшения, но и для безопасности – малыш будет заметен в темноте. Колёса изготовлены из полиуретана и прослужат не один сезон. Рукоятки выполнены из нескользящего материала, а на платформе - противоскользящая наклейка. Ребёнок будет уверенно стоять на такой подножке. Тормоз осуществляется задним крылом, а поворот – небольшим наклоном тела в нужную сторону.,,Благодаря тому, что нагрузки при катании на самокате распределяются равномерно, укрепляется опорно-двигательный аппарат и мышечная система рук и ног, а также улучшается координация и пространственная ориентация.,,, ","{'Бренд, ТМ': 'Tongde', 'Страна': 'Китай', 'Количество колес': '3', 'Максимальная нагрузка, кг': '60', 'Упаковка': 'Коробка', 'Размер упаковки (ДхШхВ)': '28х15х60', 'Возраст': 'от 3 лет', 'Материал колес': 'Полиуретановые', 'Складной': 'да', 'Сезон': 'Летний ассортимент', 'Пол': 'Для всех', 'Большая коробка': '6', 'Малая коробка': '1', 'Диаметр колёс,мм': '120/80', 'Светящиеся колеса': 'да', 'Тип рамы': 'пластиковая'}",1120186,2250,2
Клаксон,"Этот клаксон прекрасно подойдет для подачи громкого звукового сигнала на дороге. Клаксон для велосипеда в форме лягушки имеет специальное крепление, которое позволит установить сигнальный прибор достаточно прочно. Груша клаксона изготовлена из высококачественной резины, легко сжимающейся для воспроизведения звука.","{'Бренд, ТМ': 'КНР', 'Страна': 'Китай', 'Возраст': 'от 3 лет', 'Пол': 'Для всех', 'Упаковка': 'Пакет', 'Размер упаковки (ДхШхВ)': '7х5х11', 'Большая коробка': '100', 'Малая коробка': '100'}",370395,35,46
Велосипед - коляска трёхколёсный /Дружик/,"Модель уникальна функциями расфиксации руля и педалей, благодаря которым ребёнок может крутить руль и педали, но управляет велосипедом при этом родитель.Такая прогулочная коляска-велосипед хороша, когда малыш уже сидит. Бескамерные колёса на вспененной основе практически вечные. Полная комплектация аксессуарами: корзина, страховочный обод, капюшон - трансформер колясочного типа, страховочный ремень, съёмная ручка управления с мягкими накладками, пластиковые диски цвета хром, 2 складных подставки для ног с увеличенной площадкой для ступней под разный возраст, система управления передним колесом - «тяга». На сидении имеется специальный вкладыш с ремнями для надёжной фиксации малыша, как в коляске. Спинка опускается до лежачего положения. Есть возможность развернуть ребёнка лицом к себе. Сзади есть стояночный тормоз. Велосипед-коляска складывается до очень компактного состояния,что удобно для хранения и транспортировки., ","{'Бренд, ТМ': 'Дружик', 'Страна': 'Китай', 'Возраст': 'от 6 месяцев', 'Материал рамы': 'алюминиевый сплав', 'Упаковка': 'Коробка', 'Размер упаковки (ДхШхВ)': '100х56х95', 'Материал колес': 'ПВХ', 'Сезон': 'Летний ассортимент', 'Пол': 'Девочки', 'Большая коробка': '1', 'Малая коробка': '1', 'Система управления передним колесом': 'Тяга', 'Наклонная спинка': 'да'}",1090152,7800,32
Велосипед - коляска трёхколёсный /Дружик/,"Модель уникальна функциями расфиксации руля и педалей, благодаря которым ребёнок может крутить руль и педали, но управляет велосипедом при этом родитель.Такая прогулочная коляска-велосипед хороша, когда малыш уже сидит. Бескамерные колёса на вспененной основе практически вечные. Полная комплектация аксессуарами: корзина, страховочный обод, капюшон - трансформер  колясочного типа, страховочный ремень, съёмная ручка управления с мягкими накладками, пластиковые диски цвета хром, 2 складных подставки для ног с увеличенной площадкой для ступней под разный возраст, система управления передним колесом - «тяга». На сидении имеется специальный вкладыш с ремнями для надёжной фиксации малыша, как в коляске. Спинка опускается до лежачего положения. Есть возможность развернуть ребёнка лицом к себе. Сзади есть стояночный тормоз. Велосипед-коляска складывается до очень компактного состояния, что удобно для хранения и транспортировки.","{'Бренд, ТМ': 'Дружик', 'Страна': 'Китай', 'Возраст': 'от 6 месяцев', 'Материал рамы': 'алюминиевый сплав', 'Упаковка': 'Коробка', 'Размер упаковки (ДхШхВ)': '100х56х95', 'Материал колес': 'ПВХ', 'Сезон': 'Летний ассортимент', 'Пол': 'Мальчики', 'Большая коробка': '1', 'Малая коробка': '1', 'Система управления передним колесом': 'Тяга', 'Наклонная спинка': 'да'}",1090153,7800,61
